id,src,route,toll.express,time.express,reliability.express,toll.freeway,time.freeway,reliability.freeway,occupance,size,sex,flexibility,distance,commute,age3050,income
1000169,cal,express,3.25,-4.15275192260742,-2.3289213180542,0,0,0,1.0,2,female,no,34.580001831054695,yes,yes,high
1000187,cal,freeway,3.25,-4.8493914604187,-1.76664662361145,0,0,0,1.0,1,male,no,26.440000534057603,yes,yes,low
1000201,cal,express,1.625,-4.8493914604187,-1.76664662361145,0,0,0,3.0,5,male,no,24.0900001525879,yes,yes,med
1000209,cal,freeway,2.9000000953674303,-3.24331402778625,-0.732458770275116,0,0,0,1.0,7,male,no,26.4599990844727,yes,no,low
1000282,cal,express,2.9000000953674303,-2.24618029594421,-2.92631864547729,0,0,0,1.0,3,male,yes,45.880001068115206,yes,yes,med
1000412,cal,freeway,3.25,-5.615552425384519,-1.3528466224670401,0,0,0,1.0,4,male,yes,37.069999694824205,no,yes,low
1000438,cal,express,1.45000004768372,-1.58394050598145,-2.54738998413086,0,0,0,3.0,6,female,no,26.850000381469698,yes,yes,med
1000445,cal,freeway,3.25,-4.59452772140503,-2.05783271789551,0,0,0,1.0,3,female,no,33.1199989318848,no,no,low
1000468,cal,freeway,1.64999997615814,-0.35771507024765,-0.061940860003233005,0,0,0,1.0,4,male,no,43.6100006103516,yes,yes,med
1000479,cal,freeway,2.9000000953674303,-1.8719445466995202,-0.170611307024956,0,0,0,1.0,1,male,yes,33.689998626709,yes,no,med
1000499,cal,express,3.25,-5.392724514007571,-1.59943115711212,0,0,0,2.0,3,female,no,33.439998626709,yes,yes,low
1000551,cal,freeway,1.64999997615814,-0.13489741086959803,-0.0317698903381824,0,0,0,1.0,2,male,no,35.0400009155273,yes,no,low
1000644,cal,freeway,3.25,-3.88744068145752,-2.1678445339202903,0,0,0,1.0,1,male,no,34.2099990844727,yes,no,med
1000664,cal,express,1.95000004768372,-1.16960668563843,-0.9701603055000309,0,0,0,1.0,2,male,yes,24.100000381469698,yes,no,high
1000685,cal,express,0.8249999880790709,-0.783161997795105,-0.30076321959495506,0,0,0,3.0,4,female,no,20.5100002288818,yes,yes,low
1000727,cal,freeway,3.0,-4.00279855728149,-1.64101600646973,0,0,0,1.0,2,male,yes,28.059999465942397,no,yes,med
1000739,cal,express,1.95000004768372,-1.20637345314026,-0.6445634961128229,0,0,0,1.0,1,female,yes,51.529998779296896,no,no,low
1000808,cal,freeway,1.64999997615814,-0.21241009235382102,-0.0322591103613377,0,0,0,1.0,2,male,yes,37.5800018310547,yes,no,med
1000818,cal,express,1.64999997615814,-0.20273445546627,-0.0321653485298157,0,0,0,2.0,4,male,no,35.6500015258789,yes,yes,med
1000831,cal,freeway,1.95000004768372,-0.920687079429626,-2.87042784690857,0,0,0,1.0,2,male,yes,16.5100002288818,yes,yes,med
1000853,cal,freeway,3.0,-3.82081007957458,-0.842534780502319,0,0,0,2.0,3,male,yes,27.5799999237061,yes,no,med
1000856,cal,freeway,1.95000004768372,-0.9849447011947629,-2.6350557804107697,0,0,0,1.0,4,male,yes,30.719999313354503,yes,yes,high
1000934,cal,express,3.0,-1.07309114933014,-2.2046711444854705,0,0,0,1.0,2,female,yes,42.459999084472706,no,no,med
1000948,cal,freeway,3.0,-3.95503926277161,-1.16355812549591,0,0,0,1.0,5,male,no,28.5900001525879,yes,yes,low
1000966,cal,freeway,2.9000000953674303,-3.47795677185059,-0.693560123443604,0,0,0,1.0,3,male,no,26.2700004577637,yes,no,low
1000979,cal,express,1.95000004768372,-1.0257523059845,-1.9313956499099698,0,0,0,2.0,4,female,yes,24.6599998474121,no,yes,med
1000982,cal,express,3.0,-3.76111960411072,-0.726060688495636,0,0,0,1.0,7,female,no,45.720001220703104,yes,yes,med
1001014,cal,freeway,2.9000000953674303,-1.41918122768402,-2.10221219062805,0,0,0,1.0,6,male,no,22.9200000762939,no,yes,low
